"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Get exercises","LMS service","Thu Mar 26 10:53:18 UTC 2026","passed","Thu Mar 26 10:53:18 UTC 2026","Get entities","Exercises","",""
"","14","Get user me","LMS service","Thu Mar 26 10:53:23 UTC 2026","passed","Thu Mar 26 10:53:23 UTC 2026","Get entity","Users","",""
"","546","Create user","LMS service","Thu Mar 26 10:53:22 UTC 2026","passed","Thu Mar 26 10:53:23 UTC 2026","Create entity","Users","",""
"","288","Create user","LMS service","Thu Mar 26 10:53:22 UTC 2026","passed","Thu Mar 26 10:53:23 UTC 2026","Create entity","Users","",""
"","308","Update course","LMS service","Thu Mar 26 10:53:15 UTC 2026","passed","Thu Mar 26 10:53:16 UTC 2026","Update entity","Courses","",""
"","23","Create exercise","LMS service","Thu Mar 26 10:53:17 UTC 2026","passed","Thu Mar 26 10:53:17 UTC 2026","Create entity","Exercises","",""
"","19","Get exercise","LMS service","Thu Mar 26 10:53:19 UTC 2026","passed","Thu Mar 26 10:53:19 UTC 2026","Get entity","Exercises","",""
"","23","Get file with incorrect file id","LMS service","Thu Mar 26 10:53:22 UTC 2026","passed","Thu Mar 26 10:53:22 UTC 2026","Validate entity","Files","",""
"","291","Update exercise","LMS service","Thu Mar 26 10:53:19 UTC 2026","passed","Thu Mar 26 10:53:20 UTC 2026","Update entity","Exercises","",""
"","260","Create file with empty directory","LMS service","Thu Mar 26 10:53:21 UTC 2026","passed","Thu Mar 26 10:53:22 UTC 2026","Validate entity","Files","",""
"","265","Create file with empty filename","LMS service","Thu Mar 26 10:53:21 UTC 2026","passed","Thu Mar 26 10:53:21 UTC 2026","Validate entity","Files","",""
"","29","Create course","LMS service","Thu Mar 26 10:53:17 UTC 2026","passed","Thu Mar 26 10:53:17 UTC 2026","Create entity","Courses","",""
"","267","Create file","LMS service","Thu Mar 26 10:53:20 UTC 2026","passed","Thu Mar 26 10:53:20 UTC 2026","Create entity","Files","",""
"","550","Login with correct email and password","LMS service","Thu Mar 26 10:53:15 UTC 2026","passed","Thu Mar 26 10:53:15 UTC 2026","Login","Authentication","",""
"","546","Create user","LMS service","Thu Mar 26 10:53:22 UTC 2026","passed","Thu Mar 26 10:53:22 UTC 2026","Create entity","Users","",""
"","19","Delete exercise","LMS service","Thu Mar 26 10:53:20 UTC 2026","passed","Thu Mar 26 10:53:20 UTC 2026","Delete entity","Exercises","",""
"","30","Get courses","LMS service","Thu Mar 26 10:53:16 UTC 2026","passed","Thu Mar 26 10:53:16 UTC 2026","Get entities","Courses","",""
